,Eruption Number,dt,year
747,16200,1972-01-19,1972
748,16055,1972-01-26,1972
749,11173,1972-02-09,1972
750,14601,1972-03-19,1972
751,15276,1972-04-15,1972
752,18786,1972-04-29,1972
753,11667,1972-06-04,1972
754,14363,1972-06-09,1972
755,15610,1972-06-10,1972
756,18885,1972-06-18,1972
757,10347,1972-06-29,1972
758,12320,1972-07-02,1972
759,15138,1972-07-02,1972
760,10304,1972-07-04,1972
761,12462,1972-07-05,1972
762,11443,1972-07-16,1972
763,12263,1972-08-26,1972
764,16975,1972-09-02,1972
765,14202,1972-09-08,1972
766,15916,1972-10-06,1972
767,14973,1972-10-09,1972
768,16268,1972-10-22,1972
769,14639,1972-10-22,1972
770,15161,1972-10-24,1972
771,10655,1972-11-12,1972
772,14602,1972-11-22,1972
773,13162,1972-12-16,1972
774,16427,1973-01-06,1973
775,12971,1973-01-15,1973
776,18752,1973-01-16,1973
777,17336,1973-01-16,1973
778,12558,1973-01-23,1973
779,15571,1973-01-24,1973
780,17804,1973-02-01,1973
781,14524,1973-02-22,1973
782,10726,1973-02-23,1973
783,14997,1973-02-24,1973
784,20023,1973-03-16,1973
785,18358,1973-04-12,1973
786,15277,1973-04-15,1973
787,16321,1973-04-16,1973
788,14963,1973-04-16,1973
789,10108,1973-05-05,1973
790,14364,1973-05-10,1973
791,18753,1973-05-16,1973
792,16140,1973-05-16,1973
793,14801,1973-07-10,1973
794,14775,1973-07-11,1973
795,18740,1973-07-14,1973
796,11991,1973-07-16,1973
797,15467,1973-07-24,1973
798,18774,1973-07-25,1973
799,18853,1973-08-10,1973
800,13404,1973-08-16,1973
801,19757,1973-08-25,1973
802,16454,1973-09-15,1973
803,18434,1973-09-27,1973
804,15052,1973-10-04,1973
805,15225,1973-10-09,1973
806,14674,1973-10-15,1973
807,16269,1973-10-27,1973
808,14640,1973-10-31,1973
809,16976,1973-11-05,1973
810,10109,1973-11-10,1973
811,20138,1973-11-12,1973
812,11444,1973-11-16,1973
813,16346,1973-12-05,1973
814,11668,1973-12-09,1973
815,17597,1973-12-18,1973
816,11064,1973-12-24,1973
817,15309,1974-01-16,1974
818,13800,1974-01-30,1974
819,15347,1974-02-04,1974
820,20024,1974-02-11,1974
821,14946,1974-02-14,1974
822,19739,1974-02-19,1974
823,15572,1974-02-26,1974
824,18241,1974-02-28,1974
825,18034,1974-03-01,1974
826,14927,1974-03-04,1974
827,20139,1974-03-12,1974
828,16202,1974-03-12,1974
829,19459,1974-04-08,1974
830,16977,1974-06-03,1974
831,16141,1974-06-15,1974
832,11371,1974-07-02,1974
833,20236,1974-07-15,1974
834,10110,1974-07-19,1974
835,17546,1974-07-28,1974
836,20140,1974-09-01,1974
837,12463,1974-09-05,1974
838,14486,1974-09-08,1974
839,11174,1974-09-11,1974
840,10111,1974-09-19,1974
841,13801,1974-09-29,1974
842,10727,1974-10-10,1974
843,14974,1974-10-17,1974
844,15162,1974-11-12,1974
845,17598,1974-12-24,1974
846,14947,1974-12-30,1974
847,10112,1974-12-31,1974
848,15468,1975-01-16,1975
849,14603,1975-02-12,1975
850,13803,1975-02-24,1975
851,15310,1975-03-06,1975
852,16142,1975-03-16,1975
853,15611,1975-03-27,1975
854,14641,1975-04-24,1975
855,10928,1975-05-16,1975
856,10728,1975-05-28,1975
857,19323,1975-06-28,1975
858,13201,1975-07-02,1975
859,10225,1975-07-05,1975
860,15163,1975-08-16,1975
861,18424,1975-08-25,1975
862,20141,1975-09-13,1975
863,20085,1975-09-13,1975
864,18371,1975-10-02,1975
865,17337,1975-10-16,1975
866,14642,1975-10-17,1975
867,14365,1975-11-04,1975
868,16455,1975-11-16,1975
869,10113,1975-11-29,1975
870,10469,1975-12-11,1975
871,12948,1975-12-20,1975
872,20922,1976-01-01,1976
873,14964,1976-01-02,1976
874,11445,1976-01-04,1976
875,15226,1976-01-15,1976
876,18413,1976-01-16,1976
877,20086,1976-01-16,1976
878,20272,1976-01-22,1976
879,17842,1976-03-02,1976
880,14643,1976-03-06,1976
881,10881,1976-03-09,1976
882,19350,1976-03-25,1976
883,16978,1976-04-02,1976
884,15311,1976-05-01,1976
885,16143,1976-06-07,1976
886,11175,1976-06-21,1976
887,12368,1976-07-08,1976
888,14604,1976-08-23,1976
889,15164,1976-08-24,1976
890,10882,1976-08-29,1976
891,16859,1976-09-03,1976
892,14644,1976-09-12,1976
893,16528,1976-09-15,1976
894,18816,1976-09-23,1976
895,20025,1976-10-15,1976
896,14366,1976-11-02,1976
897,10929,1976-11-03,1976
898,10862,1976-12-02,1976
899,14487,1976-12-18,1976
900,14068,1976-12-23,1976
901,14101,1977-01-10,1977
902,12464,1977-01-14,1977
903,15278,1977-01-20,1977
904,12166,1977-01-26,1977
905,15165,1977-02-22,1977
906,11231,1977-03-03,1977
907,10729,1977-03-03,1977
908,19780,1977-03-06,1977
909,11339,1977-03-19,1977
910,11669,1977-03-23,1977
911,14367,1977-03-24,1977
912,19351,1977-03-25,1977
913,20206,1977-03-30,1977
914,11065,1977-04-04,1977
915,14203,1977-04-05,1977
916,17338,1977-04-11,1977
917,15227,1977-04-13,1977
918,14704,1977-04-16,1977
919,12949,1977-04-27,1977
920,11176,1977-05-16,1977
921,16144,1977-06-09,1977
922,14605,1977-07-04,1977
923,14645,1977-07-16,1977
924,15166,1977-07-17,1977
925,19460,1977-08-02,1977
926,18601,1977-08-07,1977
927,15279,1977-08-16,1977
928,10730,1977-09-11,1977
929,10114,1977-09-13,1977
