,Eruption Number,dt
2225,20996,2014-12-02
2226,20989,2014-12-18
2227,20983,2014-12-19
2228,20992,2015-01-01
2229,20988,2015-01-06
2230,22236,2015-01-19
2231,20994,2015-01-26
2232,21070,2015-02-01
2233,20982,2015-02-04
2234,20990,2015-02-16
2235,22268,2015-03-05
2236,20998,2015-03-08
2237,21076,2015-04-22
2238,21092,2015-04-23
2239,21072,2015-05-01
2240,21074,2015-05-07
2241,21071,2015-05-20
2242,21075,2015-05-25
2243,21073,2015-05-29
2244,22157,2015-06-07
2245,22132,2015-06-16
2246,21081,2015-06-16
2247,22304,2015-06-20
2248,21089,2015-06-28
2249,21080,2015-06-29
2250,21086,2015-07-07
2251,21087,2015-07-16
2252,21090,2015-07-23
2253,22233,2015-08-13
2254,21088,2015-08-14
2255,21095,2015-08-28
2256,21093,2015-08-30
2257,21098,2015-09-18
2258,21097,2015-09-23
2259,21096,2015-09-29
2260,22108,2015-10-03
2261,22104,2015-10-25
2262,22110,2015-10-30
2263,22103,2015-11-12
2264,22111,2015-11-14
2265,22106,2015-11-24
2266,22107,2015-12-01
2267,22105,2016-01-02
2268,22119,2016-01-08
2269,22117,2016-01-12
2270,22114,2016-02-22
2271,22237,2016-03-25
2272,22129,2016-03-27
2273,22127,2016-03-29
2274,22159,2016-03-30
2275,22125,2016-03-31
2276,22123,2016-04-02
2277,22128,2016-04-16
2278,22130,2016-04-22
2279,22133,2016-04-24
2280,22121,2016-04-27
2281,22144,2016-05-26
2282,22156,2016-06-05
2283,22151,2016-06-10
2284,22154,2016-06-18
2285,22153,2016-07-27
2286,22149,2016-08-01
2287,22150,2016-08-03
2288,22145,2016-09-11
2289,22147,2016-09-13
2290,22181,2016-09-13
2291,22305,2016-09-21
2292,22178,2016-10-05
2293,22174,2016-10-07
2294,22171,2016-10-11
2295,22176,2016-10-20
2296,22158,2016-11-06
2297,22172,2016-11-15
2298,22177,2016-11-20
2299,22202,2016-11-27
2300,22175,2016-11-29
2301,22182,2016-12-20
2302,22192,2017-01-07
2303,22187,2017-01-15
2304,22185,2017-01-23
2305,22184,2017-01-31
2306,22269,2017-02-18
2307,22188,2017-02-19
2308,22198,2017-03-24
2309,22203,2017-03-25
2310,22260,2017-03-29
2311,22284,2017-04-09
2312,22209,2017-04-12
2313,22207,2017-04-18
2314,22227,2017-04-30
2315,22208,2017-05-23
2316,22232,2017-06-04
2317,22226,2017-06-04
2318,22230,2017-06-04
2319,22229,2017-06-05
2320,22225,2017-06-11
2321,22224,2017-07-14
2322,22228,2017-07-15
2323,22231,2017-07-20
2324,22273,2017-08-13
2325,22252,2017-08-18
2326,22245,2017-09-04
2327,22240,2017-09-06
2328,22242,2017-10-11
2329,22308,2017-10-12
2330,22239,2017-10-21
2331,22248,2017-11-09
2332,22241,2017-11-21
2333,22249,2017-12-09
2334,22246,2018-01-05
2335,22250,2018-01-13
2336,22251,2018-01-14
2337,22258,2018-01-23
2338,22256,2018-02-02
2339,22259,2018-02-25
2340,22257,2018-03-01
2341,22263,2018-04-01
2342,22261,2018-04-03
2343,22315,2018-04-18
2344,22274,2018-04-21
2345,22266,2018-04-22
2346,22262,2018-04-27
2347,22265,2018-04-28
2348,22264,2018-05-11
2349,22285,2018-06-08
2350,22276,2018-06-10
2351,22278,2018-06-16
2352,22275,2018-06-18
2353,22277,2018-06-21
2354,22279,2018-06-26
2355,22337,2018-07-03
2356,22280,2018-07-12
2357,22282,2018-07-28
2358,22283,2018-08-08
2359,22281,2018-08-20
2360,22290,2018-09-04
2361,22288,2018-09-08
2362,22289,2018-09-08
2363,22286,2018-09-21
2364,22292,2018-09-25
2365,22293,2018-10-02
2366,22295,2018-10-04
2367,22296,2018-10-21
2368,22297,2018-11-07
2369,22294,2018-11-25
2370,22313,2018-12-08
2371,22316,2019-02-06
2372,22303,2019-02-07
2373,22309,2019-02-16
2374,22306,2019-02-18
2375,22307,2019-02-18
2376,22311,2019-03-04
2377,22312,2019-03-26
2378,22310,2019-04-09
2379,22317,2019-04-16
2380,22323,2019-05-11
2381,22320,2019-05-16
2382,22322,2019-06-01
2383,22318,2019-06-11
2384,22321,2019-06-22
2385,22324,2019-06-24
2386,22319,2019-06-26
2387,22328,2019-07-16
2388,22329,2019-07-23
2389,22330,2019-07-23
2390,22325,2019-07-26
2391,22336,2019-08-02
2392,22326,2019-08-07
2393,22334,2019-10-13
2394,22335,2019-10-24
2395,22339,2019-11-02
2396,22340,2019-12-05
2397,22341,2019-12-07
2398,22338,2019-12-09
