,Eruption Number,dt
611,14481,1968-01-27
612,16856,1968-01-31
613,15518,1968-02-03
614,18750,1968-02-16
615,14962,1968-03-16
616,14635,1968-04-06
617,16803,1968-04-21
618,16382,1968-05-07
619,11665,1968-05-21
620,12903,1968-05-23
621,16263,1968-06-03
622,11666,1968-06-11
623,15222,1968-07-02
624,19319,1968-07-02
625,14112,1968-07-02
626,11170,1968-07-02
627,19454,1968-07-03
628,13597,1968-07-16
629,16920,1968-07-18
630,18236,1968-07-28
631,11134,1968-07-29
632,15136,1968-08-16
633,14599,1968-08-18
634,10102,1968-08-22
635,18094,1968-09-16
636,15492,1968-09-16
637,10103,1968-10-07
638,10962,1968-10-23
639,20092,1968-11-13
640,16294,1968-11-28
641,16974,1968-12-21
642,18410,1969-01-12
643,18237,1969-01-19
644,14600,1969-01-21
645,16259,1969-01-27
646,10927,1969-02-11
647,18872,1969-02-16
648,13194,1969-02-21
649,10104,1969-02-22
650,13704,1969-02-27
651,18475,1969-03-11
652,16877,1969-03-21
653,10305,1969-04-22
654,11097,1969-04-22
655,11171,1969-05-03
656,11860,1969-05-16
657,10105,1969-05-24
658,11790,1969-06-16
659,14636,1969-06-22
660,13403,1969-06-23
661,15519,1969-07-02
662,15682,1969-07-20
663,14482,1969-08-16
664,19665,1969-09-11
665,19455,1969-09-16
666,11078,1969-09-20
667,15223,1969-09-22
668,14994,1969-09-29
669,16732,1969-10-10
670,15160,1969-10-28
671,16857,1969-10-29
672,16452,1969-11-27
673,18411,1969-12-01
674,10963,1969-12-19
675,16198,1970-01-05
676,15051,1970-01-15
677,19320,1970-01-16
678,18238,1970-01-26
679,18323,1970-01-29
680,13598,1970-02-16
681,18773,1970-02-16
682,10861,1970-03-30
683,17335,1970-04-21
684,12750,1970-05-05
685,15308,1970-05-09
686,19184,1970-05-11
687,14995,1970-05-20
688,15137,1970-05-21
689,19456,1970-05-26
690,16733,1970-06-05
691,10306,1970-06-21
692,14483,1970-06-30
693,18239,1970-06-30
694,18751,1970-07-02
695,14673,1970-07-02
696,16364,1970-07-02
697,16295,1970-07-02
698,15413,1970-07-02
699,11172,1970-07-16
700,15466,1970-07-26
701,13195,1970-08-12
702,11098,1970-08-14
703,14637,1970-09-16
704,19321,1970-09-16
705,12970,1970-09-18
706,18053,1970-09-18
707,16858,1970-11-09
708,16526,1970-11-27
709,16296,1971-01-16
710,14996,1971-01-26
711,10964,1971-02-03
712,15275,1971-02-03
713,15344,1971-02-22
714,16199,1971-03-11
715,19349,1971-03-16
716,14067,1971-03-24
717,14638,1971-04-03
718,18240,1971-04-05
719,13798,1971-04-05
720,14484,1971-04-09
721,10880,1971-05-03
722,16453,1971-05-11
723,15224,1971-05-12
724,16426,1971-05-19
725,19457,1971-06-16
726,20198,1971-07-16
727,14485,1971-07-19
728,17160,1971-08-05
729,12298,1971-08-12
730,10106,1971-08-14
731,10256,1971-09-06
732,15201,1971-09-06
733,16139,1971-09-14
734,10725,1971-09-14
735,13799,1971-09-19
736,10107,1971-09-24
737,12454,1971-10-04
738,20271,1971-10-07
739,13058,1971-10-26
740,12165,1971-10-29
741,15804,1971-10-29
742,19458,1971-11-16
743,12064,1971-12-01
744,13161,1972-01-03
745,14860,1972-01-08
746,16527,1972-01-16
747,16200,1972-01-19
748,16055,1972-01-26
749,11173,1972-02-09
750,14601,1972-03-19
751,15276,1972-04-15
752,18786,1972-04-29
753,11667,1972-06-04
754,14363,1972-06-09
755,15610,1972-06-10
756,18885,1972-06-18
757,10347,1972-06-29
758,12320,1972-07-02
759,15138,1972-07-02
760,10304,1972-07-04
761,12462,1972-07-05
762,11443,1972-07-16
763,12263,1972-08-26
764,16975,1972-09-02
765,14202,1972-09-08
766,15916,1972-10-06
767,14973,1972-10-09
768,16268,1972-10-22
769,14639,1972-10-22
770,15161,1972-10-24
771,10655,1972-11-12
772,14602,1972-11-22
773,13162,1972-12-16
774,16427,1973-01-06
775,12971,1973-01-15
776,18752,1973-01-16
777,17336,1973-01-16
778,12558,1973-01-23
779,15571,1973-01-24
780,17804,1973-02-01
781,14524,1973-02-22
782,10726,1973-02-23
783,14997,1973-02-24
784,20023,1973-03-16
785,18358,1973-04-12
786,15277,1973-04-15
787,16321,1973-04-16
788,14963,1973-04-16
789,10108,1973-05-05
790,14364,1973-05-10
791,18753,1973-05-16
792,16140,1973-05-16
793,14801,1973-07-10
794,14775,1973-07-11
795,18740,1973-07-14
796,11991,1973-07-16
797,15467,1973-07-24
798,18774,1973-07-25
799,18853,1973-08-10
800,13404,1973-08-16
801,19757,1973-08-25
802,16454,1973-09-15
803,18434,1973-09-27
804,15052,1973-10-04
805,15225,1973-10-09
806,14674,1973-10-15
807,16269,1973-10-27
808,14640,1973-10-31
809,16976,1973-11-05
810,10109,1973-11-10
811,20138,1973-11-12
812,11444,1973-11-16
813,16346,1973-12-05
814,11668,1973-12-09
815,17597,1973-12-18
816,11064,1973-12-24
817,15309,1974-01-16
818,13800,1974-01-30
819,15347,1974-02-04
820,20024,1974-02-11
821,14946,1974-02-14
822,19739,1974-02-19
823,15572,1974-02-26
824,18241,1974-02-28
825,18034,1974-03-01
826,14927,1974-03-04
827,20139,1974-03-12
828,16202,1974-03-12
829,19459,1974-04-08
830,16977,1974-06-03
831,16141,1974-06-15
832,11371,1974-07-02
833,20236,1974-07-15
834,10110,1974-07-19
835,17546,1974-07-28
836,20140,1974-09-01
837,12463,1974-09-05
838,14486,1974-09-08
839,11174,1974-09-11
840,10111,1974-09-19
841,13801,1974-09-29
842,10727,1974-10-10
